algo,seed,match_id,bot0,city_tiles0,units0,bot1,city_tiles1,units1,winner
EXP3,149788560,100173,meta_bot,4,4,imitation_rl,3,3,meta_bot
EXP3,149788560,100174,working_title,0,0,imitation_tb,35,35,imitation_tb
EXP3,149788560,100175,working_title,15,14,imitation_dr,0,0,working_title
EXP3,149788560,100176,working_title,1,2,imitation_rl,9,9,imitation_rl
EXP3,149788560,100177,imitation_tb,14,16,imitation_dr,0,0,imitation_tb
EXP3,149788560,100178,imitation_tb,9,9,imitation_rl,0,2,imitation_tb
EXP3,149788560,100179,imitation_dr,9,9,imitation_rl,1,1,imitation_dr
EXP3,522782513,100180,meta_bot,9,9,working_title,12,10,working_title
EXP3,522782513,100181,meta_bot,23,23,imitation_tb,7,7,meta_bot
EXP3,522782513,100182,meta_bot,0,1,imitation_dr,13,18,imitation_dr
EXP3,522782513,100183,meta_bot,25,25,imitation_rl,0,1,meta_bot
EXP3,522782513,100184,working_title,0,0,imitation_tb,14,18,imitation_tb
EXP3,522782513,100185,working_title,14,15,imitation_dr,4,7,working_title
EXP3,522782513,100186,working_title,1,4,imitation_rl,17,17,imitation_rl
EXP3,522782513,100187,imitation_tb,1,2,imitation_dr,6,8,imitation_dr
EXP3,522782513,100188,imitation_tb,28,29,imitation_rl,0,2,imitation_tb
EXP3,522782513,100189,imitation_dr,23,23,imitation_rl,2,4,imitation_dr
EXP3,907010344,100190,meta_bot,4,5,working_title,11,18,working_title
EXP3,907010344,100191,meta_bot,2,4,imitation_tb,10,13,imitation_tb
EXP3,907010344,100192,meta_bot,4,6,imitation_dr,6,11,imitation_dr
EXP3,907010344,100193,meta_bot,9,9,imitation_rl,14,14,imitation_rl
EXP3,907010344,100194,working_title,1,1,imitation_tb,7,27,imitation_tb
EXP3,907010344,100195,working_title,7,24,imitation_dr,3,11,working_title
EXP3,907010344,100196,working_title,15,17,imitation_rl,6,6,working_title
EXP3,907010344,100197,imitation_tb,30,30,imitation_dr,6,24,imitation_tb
EXP3,907010344,100198,imitation_tb,6,10,imitation_rl,10,20,imitation_rl
EXP3,907010344,100199,imitation_dr,4,5,imitation_rl,17,25,imitation_rl
EXP3Light,60125853,100200,meta_bot,47,47,working_title,47,46,meta_bot
EXP3Light,60125853,100201,meta_bot,15,22,imitation_tb,144,144,imitation_tb
EXP3Light,60125853,100202,meta_bot,57,61,imitation_dr,33,33,meta_bot
EXP3Light,60125853,100203,meta_bot,39,40,imitation_rl,40,41,imitation_rl
EXP3Light,60125853,100204,working_title,20,22,imitation_tb,91,97,imitation_tb
EXP3Light,60125853,100205,working_title,38,33,imitation_dr,39,39,imitation_dr
EXP3Light,60125853,100206,working_title,51,50,imitation_rl,76,76,imitation_rl
EXP3Light,60125853,100207,imitation_tb,117,116,imitation_dr,53,55,imitation_tb
EXP3Light,60125853,100208,imitation_tb,85,92,imitation_rl,32,33,imitation_tb
EXP3Light,60125853,100209,imitation_dr,90,99,imitation_rl,44,44,imitation_dr
EXP3Light,932555868,100210,meta_bot,17,17,working_title,0,2,meta_bot
EXP3Light,932555868,100211,meta_bot,1,1,imitation_tb,19,22,imitation_tb
EXP3Light,932555868,100212,meta_bot,0,0,imitation_dr,28,28,imitation_dr
EXP3Light,932555868,100213,meta_bot,10,10,imitation_rl,4,6,meta_bot
EXP3Light,932555868,100214,working_title,5,5,imitation_tb,14,14,imitation_tb
EXP3Light,932555868,100215,working_title,0,1,imitation_dr,8,8,imitation_dr
EXP3Light,932555868,100216,working_title,12,15,imitation_rl,0,1,working_title
EXP3Light,932555868,100217,imitation_tb,10,10,imitation_dr,1,1,imitation_tb
EXP3Light,932555868,100218,imitation_tb,11,11,imitation_rl,3,3,imitation_tb
EXP3Light,932555868,100219,imitation_dr,1,3,imitation_rl,24,24,imitation_rl
EXP3Light,449285941,100220,meta_bot,32,32,working_title,12,14,meta_bot
EXP3Light,449285941,100221,meta_bot,15,16,imitation_tb,119,122,imitation_tb
EXP3Light,449285941,100222,meta_bot,15,18,imitation_dr,43,62,imitation_dr
EXP3Light,449285941,100223,meta_bot,23,23,imitation_rl,20,24,meta_bot
EXP3Light,449285941,100224,working_title,11,11,imitation_tb,66,77,imitation_tb
EXP3Light,449285941,100225,working_title,22,30,imitation_dr,19,21,working_title
EXP3Light,449285941,100226,working_title,33,36,imitation_rl,18,19,working_title
EXP3Light,449285941,100227,imitation_tb,15,25,imitation_dr,25,31,imitation_dr
EXP3Light,449285941,100228,imitation_tb,54,60,imitation_rl,16,17,imitation_tb
EXP3Light,449285941,100229,imitation_dr,38,41,imitation_rl,30,32,imitation_dr
EXP3Light,219701896,100230,meta_bot,1,1,working_title,4,3,working_title
EXP3Light,219701896,100231,meta_bot,0,0,imitation_tb,6,8,imitation_tb
